"amendment","crop","block","plant","wilt_percent"
"0C","Pea",1,1,0
"0C","Pea",1,2,0
"0C","Pea",1,3,50
"0C","Pea",1,4,0
"0C","Pea",1,5,0
"0C","Pea",1,6,0
"0C","Pea",1,7,0
"0C","Pea",1,8,0
"0C","Pea",1,9,0
"0C","Pea",1,10,0
"0C","Pea",1,11,50
"0C","Pea",1,12,50
"0C","Pea",1,13,50
"0C","Pea",1,14,0
"0C","Pea",1,15,50
"0C","Pea",1,16,50
"0C","Pea",1,17,0
"0C","Pea",1,18,50
"0C","Pea",1,19,0
"0C","Pea",1,20,50
"0C","Pea",1,21,50
"0C","Pea",1,22,0
"0C","Pea",1,23,0
"0C","Pea",1,24,0
"0C","Pea",1,25,50
"0C","Pea",1,26,0
"0C","Pea",1,27,0
"0C","Pea",1,28,50
"0C","Pea",1,29,50
"0C","Pea",1,30,50
"0C","Pea",1,31,0
"0C","Pea",1,32,0
"0C","Pea",1,33,0
"0C","Pea",1,34,50
"0C","Pea",1,35,0
"0C","Pea",1,36,0
"0C","Pea",1,37,50
"0C","Pea",1,38,50
"0C","Pea",1,39,0
"0C","Pea",1,40,0
"0C","Pea",2,1,50
"0C","Pea",2,2,50
"0C","Pea",2,3,0
"0C","Pea",2,4,0
"0C","Pea",2,5,50
"0C","Pea",2,6,50
"0C","Pea",2,7,0
"0C","Pea",2,8,0
"0C","Pea",2,9,50
"0C","Pea",2,10,0
"0C","Pea",2,11,50
"0C","Pea",2,12,0
"0C","Pea",2,13,0
"0C","Pea",2,14,50
"0C","Pea",2,15,50
"0C","Pea",2,16,0
"0C","Pea",2,17,0
"0C","Pea",2,18,0
"0C","Pea",2,19,0
"0C","Pea",2,20,0
"0C","Pea",2,21,0
"0C","Pea",2,22,0
"0C","Pea",2,23,0
"0C","Pea",2,24,0
"0C","Pea",2,25,0
"0C","Pea",2,26,0
"0C","Pea",2,27,0
"0C","Pea",2,28,0
"0C","Pea",2,29,0
"0C","Pea",2,30,0
"0C","Pea",2,31,50
"0C","Pea",2,32,0
"0C","Pea",2,33,0
"0C","Pea",2,34,0
"0C","Pea",2,35,0
"0C","Pea",2,36,0
"0C","Pea",2,37,50
"0C","Pea",2,38,0
"0C","Pea",2,39,0
"0C","Pea",2,40,0
"0C","Pea",3,1,0
"0C","Pea",3,2,50
"0C","Pea",3,3,0
"0C","Pea",3,4,0
"0C","Pea",3,5,0
"0C","Pea",3,6,0
"0C","Pea",3,7,50
"0C","Pea",3,8,0
"0C","Pea",3,9,0
"0C","Pea",3,10,0
"0C","Pea",3,11,50
"0C","Pea",3,12,0
"0C","Pea",3,13,0
"0C","Pea",3,14,0
"0C","Pea",3,15,0
"0C","Pea",3,16,0
"0C","Pea",3,17,0
"0C","Pea",3,18,0
"0C","Pea",3,19,0
"0C","Pea",3,20,0
"0C","Pea",3,21,0
"0C","Pea",3,22,50
"0C","Pea",3,23,0
"0C","Pea",3,24,50
"0C","Pea",3,25,0
"0C","Pea",3,26,0
"0C","Pea",3,27,0
"0C","Pea",3,28,50
"0C","Pea",3,29,50
"0C","Pea",3,30,50
"0C","Pea",3,31,0
"0C","Pea",3,32,0
"0C","Pea",3,33,50
"0C","Pea",3,34,0
"0C","Pea",3,35,0
"0C","Pea",3,36,50
"0C","Pea",3,37,50
"0C","Pea",3,38,50
"0C","Pea",3,39,50
"0C","Pea",3,40,50
"0C","Fallow",1,1,0
"0C","Fallow",1,2,50
"0C","Fallow",1,3,50
"0C","Fallow",1,4,0
"0C","Fallow",1,5,0
"0C","Fallow",1,6,50
"0C","Fallow",1,7,0
"0C","Fallow",1,8,0
"0C","Fallow",1,9,0
"0C","Fallow",1,10,50
"0C","Fallow",1,11,0
